Label,Text,Jenis
Positive,"hari jumat abis booster vaksin pfizer (sengaja milih jumat biar besoknya liburan pas di rumah) efek pas abis disuntik agak sakit tangannya, bahkan sampe malem. mana pas malem bawa tas isi laptop lumayan berat alhasil cuma digendong pake satu tangan aja itu tasnya.",Pfizer
Positive,"Hikmahnya pake Sinovac. Dulu gw termasuk yg meragukan pilihan pemerintah ke Sinovac tapi liat karakter +62 udah paling bener dpt Sinovac sebagai vaksin utama soalnya kalo pfizer sama moderna, khawatir gw hoaxnya makin"" gegara efek sampingnya yg luar biasa",Pfizer
Negative,ini efek nya udah 5 hari tetep aja ada,Pfizer
Negative,ini efek pfizer kerasa bgt,Pfizer
Positive,ini ngantuk itu krna efek kenyang atau efek pfizer sih?,Pfizer
Negative,"ini pfizer sadis juga udah minum paracetamol semalem, tangan masih pegel bgt terus tidak tau efek vaksin apa aku aja yg salah, ga nafsu bgt makan",Pfizer
Negative,"ini y efek nya? Ternyata memang benar, sangat membuat ingin taubat",Pfizer
Positive,"iya, efek paling umum booster pfizer katanya sih, pegel linu",Pfizer
Positive,"jadi dulu aku alumni sinovac, terus kemarin boster dapat pfizer. alhamdulillah banget efek abis vaksin nggak aneh -aneh, cuma nyeri/ pegel/ njarem di lengan kiri aja. ini sisa nyeri dikit banget. panas pusing meriang gitu alhamdulillah nya nggak.",Pfizer
Positive,"jujurlyy gw pfizer enak bgttt, dri awal tidak ada efek samping ,cuma yg kedua ada sih cuma capee gt tp udhnya enak bgtt jarang sakit juga",Pfizer
Positive,"kalo ayah ku yg booster moderna meriang 2 hari, tapi kalo langsung minum paracetamol yg dibawain habis vaksin efek ga ga separah yg baru minum pas panasnya muncul. aku baru besok ngikut yg pfizer, katanya yg udah cuma pegel aja",Pfizer
Negative,kalo pfizer efek sampingnya gak berat,Pfizer
Positive,Kasian ananknya abis suntik pfizer.. tapi tenang efek samping langka dan teratasi.,Pfizer
Negative,"kejadian ikutan pasca imunisasi kak, efek samping abis vaksin. kemarin aku abis booster pfizer badan ga enak banget 2-3 harian padahal udah minum banyak dan langsung hajar paracetamol",Pfizer
Positive,kirain aku nya yg emang lagi ngantuk. ternyata efek pfizer gini ya,Pfizer
Negative,"kirain vaksin booster trus pfizer beneran tidak ada efek, eh dari tadi badan anget tangan pegel bgt",Pfizer
Positive,"Kl buat aku sih aman2 aja, cuma efek #vaksin #pfizer nya baru kerasa 30 jam stlah penyuntikan, badan lemes, kerasa dingin, tangan kiri sakit krna ada pembengkakan di ketiak sebelah kiri dan insomnia parah",Pfizer
Positive,kok kata orang-orang pfizer efek nya menggila ya? Padahal aku aman,Pfizer
Negative,lemes nya bgt efek vaksin pfizer ini!! menggigil kaki dingin. badan hanget2 .. tau gt d tunda aja .,Pfizer
Negative,"lemes ya kawan, lemes nya bukan main, aku pakai pfizer ya",Pfizer
Negative,"moderna efek sampinge ngantem tenan. langsung panas, lemes, nggliyeng, turu ra nyaman.",Moderna
Positive,moderna aku ga ada efek apa-apa,Moderna
Positive,menggigil efek moderna,Moderna
Negative,"Memang amsyong ya rasanya vaksin Sinovac, sinovac, booster moderna.. Meriang semalaman badan pegel2 sampe besoknya..",Moderna
Negative,"Meanwhile 2 orang temen kantor w kaga knp2 anying. Cuma sakit nyeri di lengan daerah suntikan. lucky gurls.  Ada temen gue satu lg, sama suhu nya nyampe 39.4 trus katany kepala nya sampe rasa mau pecah. Yg jelas rata2 yg di vaksin moderna itu nyeri bgt di lengan. Akupun juga begitu",Moderna
Negative,Mau vaksin booster moderna kok jadi takut. Takut KIPI :((,Moderna
Negative,"Mau cerita pengalaman vaksin booster moderna. Sumpah... Efeknya ga main"".",Moderna
Negative,"masih layu akibat efek vaksin boster moderna, semangat pagi sahabat semua salam damai salam sehat semua",Moderna
Positive,mari kita tunggu efek booster moderna,Moderna
Negative,Mantep banget moderna bikin meriang muntah muntah sama pegel tangan ga bisa gerak. di gue sekarang lagi fokus vaksin sekolah dasar dulu belom ada info yang boster ini,Moderna
Negative,mantaps kali efek moderna,Moderna
Negative,luar biasa emang efek vaksin moderna ini. tangan seperti lumpuh,Moderna
Negative,"kerasa banget gila, dari pertama di suntik sampek pulang tangan bengkak, disusul demam… ",Moderna
Positive,kenapa dah? moderna normal2 ajaa. gw sekeluarga booster pake moderna sama sekali ga ada efek,Moderna
Positive,kemarin vaksin moderna gampang didapetin trus Alhamdulillah gak bikin tangan sakit,Moderna
Positive,"kemarin vaksin booster moderna, gak ada efek sama sekali",Moderna
Negative,kemarin mama setelah dpt booster moderna efek sampingnya parah bgt smpe mual muntah. jujur jadi takut.. bukan takut karena dlmnya ada apa2nya dan ga percaya. tp males aja kalo sakit,Moderna
Positive,kek ga bs bobo di sisi yg divaksin sama kemeng :( sebenernya b aja sih kek side effects vaksin biasa cm yg 2x kmrn bener2 ga ada efek jd kayanya baru nendang skrg. aku ambil pfizer jg bukan moderna,Moderna
Negative,kalo vaksin booster kayak pfizer moderna gitu emang efek sampingnya lebih parah dari kayak sinovac sinopharm tapi lebih manjur jg,Moderna
Positive,kalo buat efek dari moderna. yang penting sebelum vaksin tidur yang cukup minum air putih sama sarapan sebelum disuntik,Moderna
Negative,"kalau moderna apalagi efek pertama kali bikin mata berkunang, siang ngantuk berat, malamnya kedinginan susah tidur linu nyeri di lengan bekas suntikan",Moderna
Positive,"KABAR BAIK!!! Booster vaksin Moderna terbukti mampu meningkatkan antibodi orang yang sudah mendapatkan vaksin Sinovac. Peningkatan sekitar 9,3 kali lebih tinggi. Yang lebih oke lagi, bukti ini berasal dari penelitian di Indonesia!",Moderna
Negative,"ini yg sy rasain setelah vaksin booster moderna.. meriang,, lemes,, masih nyeri di tempat suntik.. puncaknya wktu tidur malem sih.. badan panas.. kedinginan.. Ga bisa tidur pokoknya kebangun jm 2 sampe jm 3an",Moderna
Positive,ini temen temen gue ngapa pada ngira gue nyuap dokternya biar ga disuntik gara gara ga ada efek sama sekali abis dapet moderna. ngadi ngadi bae lah.,Moderna
Negative,ini keknya efek vaksin moderna covid 19 tiduran seharian di kantor. sampai lupa pulang,Moderna
Negative,ini efek nya booster moderna gini bgt ya,Moderna
Positive,"ibu ku pakai moderna aman sejauh ini, gak ada efek-efek yang ekstrim",Moderna
Positive,"harusnya tadi aku gak pergi kemana mana, efek booster moderna tanganku bengkak kayak di gigit nyamuk",Moderna
Negative,Hari ini booster vaksin pake moderna. Dulu tahap 1 & 2 pake sinovac ga berasa. Yg ini sekarang tangan kaya ga bisa diangkat ,Moderna
Positive,"Hamdallah efek booster Moderna cuman lengan nyeri aja.
Ga ada demam ga ada lemes ga ada badan nyeri…",Moderna
Negative,h+2 vaksin booster moderna makin jadi demam + membengkak bekas suntikan,Moderna
Negative,"h+1 vaksin moderna. tumbang sih :""( smua efek diborong.",Moderna
Negative,"h+1 abs vaksin booster moderna, efek samping nya sungguh amat menyiksa",Moderna
Negative,gue sebagai org yang vaksinnya pake sinovac gak ada efek apa2 jadi kaget pake moderna ampe seperti ini,Moderna
Negative,"gue nanya temen vaksin pfizer efeknya cuma pusing, beda banget sama moderna udah kaya orang tepar",Moderna
Positive,"gue moderna, semoga cepet hilang ya efek sampingnya. lekas membaik sedap",Moderna
Positive,"gua moderna kemaren, tapi ga ada efek apa apa pegel doang",Moderna
Positive,gini amat ya efek vaksin moderna. pantes yg disuntik lengan kiri. Sehat ayo sehat.,Moderna
Negative,gini amat efek moderna.,Moderna
Negative,gila vaksin moderna ini luar biasa efeknya,Moderna
Negative,gila vaksin moderna efeknya sakit benerr,Moderna
Negative,"gapapa aku udh vaksin moderna dua kali, teparnya juga dua kali. inshaAllah kuaaat orang mama dulunya kasih aku susu Dancow tiap mau ke sekolah",Moderna
Negative,Ga masalah.. bini gw tenaga kesehatan 3x sinovac plus 1x moderna.. aman.. Cuma efek samping moderna paling berasa.. demam sehari,Moderna
Negative,efek vaksinasi moderna mulai terasa sodara2 ~,Moderna
Negative,"efek vaksin moderna serem, teman gw ada yang sampai pingsan.",Moderna
Positive,"efek vaksin moderna gini gak? badan gue pada linu semua, DAN NGANTUK BGT. tp gak separah pfizer yang sampe demam dan lemes bgt",Moderna
Positive,efek vaksin jangan takut soalnya rata -rata yg pake moderna emang dibagian yg di suntik itu pegel terus badan agak kurang fit tapi itu gak lama kok ya paling sehari 2 hari lah aku aja vaksin 1 & 2 pakenya moderna,Moderna
Negative,"efek vaksin booster moderna h+1, tangan ga bisa digerakin, krna sakit. demam, menggigil jg, badan pegel pegel.   padahal bsk pertama kali kuliah tatap muka, ga tau efeknya bakal kaya gini",Moderna
Positive,efek umum ternyata aku kira cuma moderna yg kaya gini,Moderna
Negative,efek sampinge ancen kek ngunu mangkane nek onok keluhan langsung nak puskesmas ben dikek i obat. btw vaksin moderna dosis e duwur dadi efek sampinge yo mantap,Moderna
