Label,Text
positive,habis di vaksin booster astrazeneca kemaren ga ada efek samping apa2 ya.. antara alhamdulillah sama “bener kan aku di vaksin barusan???”
positive,20:53 masih aman semua dari efek booster Astrazeneca
positive,"tadi pagi aku vaksin pake astra, siang nya Cuma linu aja"
positive,nggak ada efek yang sampek gila
positive,"alhamdulillah aman, soalnya aku makan dulu"
positive,"sebelum vaksin usahakan makan ya, biar kipi nya nggak aneh-aneh"
positive,gini aja efek nya? Ringan banget ya di aku
positive,ini temen temen gue ngapa pada ngira gue nyuap dokternya biar ga disuntik gara gara ga ada efek sama sekali abis dapet moderna. ngadi ngadi bae lah.
positive,akhirnya efek dari dosis penuh booster moderna mulai menghilang.. setelah 32 jam pasca vaksin
positive,"tentang booster, tadi aku disuntik moderna. alhamdulillah ga ada efek yang berat. 4 jam setelah disuntik sakit kepala yg cukup mengguncangkan bumi terus disundul pake panadol merah idolaqu kemudian anteenngg"
positive,"booster moderna, gak ada efek selain pegal biasa sehari aja. aku v1 dan v2 juga begitu efeknya."
positive,"seminggu kemarin abis vaksin moderna, dan efek sampingnya hampir gak ada kecuali laper"
positive,"Beda sama AZ. Penerima AZ itu sudah merasakan getir dan beratnya efek samping AZ yang bagi beberapa orang sensasinya 11-12 kayak kena CVD . Dengan diberikan Moderna, tubuh sudah beradaptasi"
positive,"apapun jenis vaksinnya, mo sinovac yg katanya paling aman, pfuzer, moderna, atau astreajenaka semua berpotensi meninggalkan efek samping. karena semua vaksin covid blm dinyatakan lulus uji klinis dan blm layak pake secara aman. semua mengacu pada ijin kedaruratan dri uea."
positive,Angka Kematian Orang Disuntik Vaksin Moderna Paling Rendah 
positive,alhamdulillah sabtu setelah d vaksin moderna. efek cmn nyeri d tangan bekas vaksin
positive,"aku udah dulu moderna, efek samp nya demam tinggi sih. tp diminumin prctmol udah baik an"
positive,"aku dosis 1 2 sinovac dosis 3 moderna. efek ke orang beda2 kok, makan dulu sebelum vaksin ya.  aku gapapa sih setelah vaksin ibu ku jg gapapa ( 1 2 az, 3 moderna) gapapa kok ayo vaksin"
positive,"aku baru hari ini vaksin booster. dapetnya moderna. per mahgrib ini, blom ada efek samping. masih linu2 aja di lengan bekas suntik. jangan sampe yg demam gitu. ini aja ud susah angkat lengan"
positive,"abis vaksin moderna, smoga ga knpa-napa "
positive,abis vaksin moderna seharusnya tangan pegel demam mual tapi ini besoknya buat basket karena ga kerasa apa2 padahal papa pegel n demam.
positive,"40 jam setelah vaksin moderna: udah enakan, masih pegel di area suntik"
positive,3 jam setelah vaksin moderna: tidak ada efek apa- apa :)
positive,di aku kok gak ada efek apa-apa ya
positive,"aman sampe rumah, aku jalan kaki, nggak pusing, nggak mual, aku pakai moderna ya"
positive,13 jam stlh vaksin moderna tuh ngantuk bgtbgtbgt
positive,"Demi apa vaksin ke3 make me asdfghjklhzhzhzzhzh Sumpaaa efeknya mleyot, pastikan kalo mo vaksin moderna jadwal bberapa hari kedepan kosong. Jd ga terganggu"
positive,efek booster pakai moderna emg ada batuk pilek juga kah?
positive,"dulu juga udah sempat bilang kalo efek pasca vaksin itu tiap orang beda -beda. aku bilang, ""aku bisa drop ya karena efek moderna emang cukup kuat. itu ayah sama adek udah 2x vaksin tapi ga kenapa -napa."""
positive,"dosis 2 moderna selesai,  setelah satu jam belum ngerasain efek apa apa."
positive,efek vaksin jangan takut soalnya rata -rata yg pake moderna emang dibagian yg di suntik itu pegel terus badan agak kurang fit tapi itu gak lama kok ya paling sehari 2 hari lah aku aja vaksin 1 & 2 pakenya moderna
positive,efek umum ternyata aku kira cuma moderna yg kaya gini
positive,"gue moderna, semoga cepet hilang ya efek sampingnya. lekas membaik sedap"
positive,gini amat ya efek vaksin moderna. pantes yg disuntik lengan kiri. Sehat ayo sehat.
positive,kenapa dah? moderna normal2 ajaa. gw sekeluarga booster pake moderna sama sekali ga ada efek
positive,kek ga bs bobo di sisi yg divaksin sama kemeng :( sebenernya b aja sih kek side effects vaksin biasa cm yg 2x kmrn bener2 ga ada efek jd kayanya baru nendang skrg. aku ambil pfizer jg bukan moderna
positive,kalo buat efek dari moderna. yang penting sebelum vaksin tidur yang cukup minum air putih sama sarapan sebelum disuntik
positive,"KABAR BAIK!!! Booster vaksin Moderna terbukti mampu meningkatkan antibodi orang yang sudah mendapatkan vaksin Sinovac. Peningkatan sekitar 9,3 kali lebih tinggi. Yang lebih oke lagi, bukti ini berasal dari penelitian di Indonesia!"
positive,menggigil efek moderna
positive,ngadepin efek samping moderna juga kuat kok ini buktinya masih kuat
positive,Suntik vaksin moderna satu botol pasti. Langsung sembuh sakitnya
positive,"sudah 10 jam vaksin booster moderna, belom terasa efek apapun. mulai agak kerasa nyeri di lengan sih. tapi masih aman2 aja"
positive,Siapin panadol 1 ember untuk tangkis efek samping Moderna
positive,"setelah sekitar 24 jam, siap2 efek titik yg disuntik njarem, cenut2, demam bbrp hari, kepala pusing, lemes. moderna rata2 berdampak spt itu. alhamdulillah kemarin saya baru terbebas dr efek itu setelah disuntik moderna pd jumat sore. semoga sehat"
positive,Ternyata leluasa gerakin tangan & bisa tidur nyamping kanan kiri itu adalah kenikmatan kecil yang baru disadari 
positive,"udah pake moderna, efek samping ga seserem kata orang -orang. cuma pegel sore malam, paginya udah enakan, belom ilang pegelnya 100% tapi udah bisa nyetir jauh walaupun masih pegel. abis vaksin aku langsung makan minum paracetamol"
positive,"vaksin pertama moderna ga ada efek ap-apa, pas vaksin kedua kemarin baru berasa efeknya hari ini"
positive,"Yang aku tangkap dari penjelasan BPOM dan ITAGI kemarin, dicari yang sekiranya aman efek sampingnya. Karena ternyata Moderna dan Pfizer punya efek samping yang 'kuat'. Tidak sedikit tenaga kesehatan yang 'megap-megap' setelah booster. Jadi, dicari amannya."
positive,"tergantung dia sakit bawaan atau ngga, temen sy juga dah booster 1/2 moderna, 1/2 pfizer, efeknya memang lbh kuat dr vaksin sebelumnya. dia jd lemes tp alhamdulillah baik2 aja. papa sy jg ga jadi booster minggu kemarin karna gula darah"
positive,"Moderna sudah disuntik, kita tunggu update efek samping 1x24"
positive,"Moderna, ga ada efek samping kemaren"
positive,yang udh vaksin booster moderna pada kena efek samping apa? aku sejauh ini cuma ngilu aja lenganku :(
positive,"Vaksin 1 dan 2 pakai moderna, ini juga moderna. Kalau efek lain nggak ada, cuman tangannya ini nyeri"
positive,"abis vaksin moderna aku gak merasakan efek samping apa2, jangan2 yg disuntikkan ke tubuhku sebenarnya adalah cairan infus"
positive,moderna aku ga ada efek apa-apa
positive,"abis booster moderna ga berasa efek apa-apa, kurang menantang"
positive,Efek booster moderna kenapa bikin laperan gini
positive,"abis booster moderna, terpantau belum ada efek apa-apa cuman jadi super rakus aja"
positive,"aku udah booster pake moderna, ternyata efek nya ga separah yang dibilang orang2. alhamdulillah setelah 7 jam booster, cuman pegel tangan doang"
positive,"oarang-oarang booster pada kena efek samping yg lumayan, aku gak apa-apa selain nyeri dikit di area suntikan. Booster aku moderna"
positive,"efek vaksin moderna gini gak? badan gue pada linu semua, DAN NGANTUK BGT. tp gak separah pfizer yang sampe demam dan lemes bgt"
positive,"harusnya tadi aku gak pergi kemana mana, efek booster moderna tanganku bengkak kayak di gigit nyamuk"
positive,"aku moderna kemaren gak ada efek sama sekali, kubawa begadang pula"
positive,mari kita tunggu efek booster moderna
positive,"vaksin ke 3 pake moderna, masih aman dan tanpa ada efek samping"
positive,"Aku booster moderna gak ada efek, ada tapi cuma pegel di area suntikkan aja. Ga separah vaksin 1 astra"
positive,"alhamdulillah 7 jam setelah suntik booster moderna, tidak merasakan efek samping apa2, cuma pegel aja"
positive,Efek moderna sejauh ini cuma kelaparan
positive,vaksin 1 dan 2 moderna gak ada efek apa2 cuman nyeri dibekas suntikkan aja
positive,"gua moderna kemaren, tapi ga ada efek apa apa pegel doang"
positive,moderna emang ga ada efek sampingnya apa vaksinnya merembes gara-gara gua bawa motor tadi pulangnya
positive,"vaksin 1 dan 2 pfizer, booster moderna efek nya pegel pegel biasa aja di tangan"
positive,"aku moderna, sejauh ini belum muncul efek sampingnya.. waktu vaksin 1 2 kemarin gak ada efek samping sama sekali semoga sekarang nggak ada juga"
positive,Hamdallah efek booster Moderna cuman lengan nyeri aja. Ga ada demam ga ada lemes ga ada badan nyeri…
positive,"kemarin vaksin booster moderna, gak ada efek sama sekali"
positive,"Balik ke orang masing-masing, aku moderna ga efek apa-apa, paling lengan doang yg nyeri"
positive,kemarin vaksin moderna gampang didapetin trus Alhamdulillah gak bikin tangan sakit
positive,"vaksin booster moderna, cuma sakit di bekas suntikkan, sama ya itu ngantuk sama lapar."
positive,"ibu ku pakai moderna aman sejauh ini, gak ada efek-efek yang ekstrim"
positive,"baru aja kemarin vaksin pake moderna, aku kira bakal gila kipi nya, ternyata engga juga"
positive,"efek moderna ringan kalo di aku, nggak ada yang aneh"
positive,"terlanjur kepikiran yang nggak-nggak, ternyata gak ada kipi"
positive,"aman, badan nggak rewel"
positive,pokoknya habis vaksin langsung minum paracetamol
positive,"buat tidur badan udah sehat, aku pakai moderna ya, jadi efeknya nggak berat dan nggak lama"
positive,sekeluarga pake moderna alhamdulillah buat bulu tangkis masih kuat
positive,"aku kira bakal berat, ternyata gini-gini aja"
positive,"W udah 2x vaksin pfizer sama istri, gak ada efek samping nya…"
positive,vaksin dosis 1-2 kemarin pakenya sinovac dan gak ada efek apa2 soalnya... tp kalo lihat efektivitasnya booster pfizer kan lebih efektif ya
positive,"vaksin 1,2 sinovac. pfizer tanggal 28 januari, bekas suntikan pegel, tapi masih bisa digerakin, ngangkat barang2 juga. h+1 lebih pegel tapi masih bisa digerakin, sore badan hangat tapi gak sampai demam, pusing dikit tapi bentar"
positive,tgl 28 januari 2022 vaksin booster pfizer.  belum ada efek apapun selain lengan bekas suntikan berasa lebih sakit. apalagi waktu proses di suntiknya. berasa kayak melambat gitu
positive,tgl 25 januari aku vaksin booster dpt pfizer habis itu aku tidak ada efek apa2. boleh olahraga ga sih stlh itu? atau nunggu brp hari dulu baru boleh olahraga lagi?
positive,tdk sepenuh nya betul ya. aku tdk ngerasain efek samping apa pun saat selesai injeksi booster pfizer.  mungkin tergantung imunitas masing - masing person kali.
positive,setelah 24 jam baru muncul efek booster Pfizer. Syukur akhir pekan jadi bisa rebahan seharian
positive,sejauh ini belum ada efek samping atau gejala setelah suntik vaksin booster pfizer. Sejauh ini bagus
positive,"pfizer bener ga ada efek samping kah kak?? mamak ku hr ini vaksin booster tp di kota lain, jd aku ga bisa ikut buat liatin dia  ga tau vaksin apa tp kyk nya pfizer. mudah2an pulang dgn selamat dan ga ad efek samping"
positive,Pernah vaksin pfizer gak? Efek samping nya apa? Aku tadi vaksin pke pfizer soalnya:3
positive,Masih aja bahas vaksin saya sudah suntik ya vaksin pfizer tidak ada efek samping apa pun kalian itu membuat gaduh dari jaman nya pak presiden terdahulu sampai sekarang masih aja hukum bagi yg masih membicarakan vaksin gara gara babe aldo
positive,"Kl buat aku sih aman2 aja, cuma efek #vaksin #pfizer nya baru kerasa 30 jam stlah penyuntikan, badan lemes, kerasa dingin, tangan kiri sakit krna ada pembengkakan di ketiak sebelah kiri dan insomnia parah"
positive,Kasian ananknya abis suntik pfizer.. tapi tenang efek samping langka dan teratasi.
positive,"jujurlyy gw pfizer enak bgttt, dri awal tidak ada efek samping ,cuma yg kedua ada sih cuma capee gt tp udhnya enak bgtt jarang sakit juga"
positive,ini ngantuk itu krna efek kenyang atau efek pfizer sih?
positive,"Hikmahnya pake Sinovac. Dulu gw termasuk yg meragukan pilihan pemerintah ke Sinovac tapi liat karakter +62 udah paling bener dpt Sinovac sebagai vaksin utama soalnya kalo pfizer sama moderna, khawatir gw hoaxnya makin"" gegara efek sampingnya yg luar biasa"
positive,"hari jumat abis booster vaksin pfizer (sengaja milih jumat biar besoknya liburan pas di rumah) efek pas abis disuntik agak sakit tangannya, bahkan sampe malem. mana pas malem bawa tas isi laptop lumayan berat alhasil cuma digendong pake satu tangan aja itu tasnya."
positive,Hari ini vaksin ke 3 pfizer selesai semoga menguatkan imun
positive,"h+5 booster pfizer dan sejauh ini ga ada efek aneh - aneh. paling cuma agak hiperaktif setelah satu jam disuntik asli kaya abis makan gula kebanyakan. ngga ngantuk, ngga laper, cuma nyeri dikit di daerah sekitar suntikan."
positive,"Emang kenapasi kalo pengen vaksin Pfizer? Ko kaya tertekan banget gue, mana disuruh berubah pikiran biar vaksin sinovac aja. Knp?"
positive,efek vaksin pfizer mulai lapar sodara… tp masih bisa terkontrol dan tak tergoda
positive,"Efek umum sesudah divaksin. Pfizer, Sinovac, Sinopharm: hampir ga ada efek."
positive,"Efek booster kah? Kayaknya tergantung dari jenis vaksinnyaa. Kalau kayak moderna, pfizer, astra efek post vaksinnya hampir mirip mirip: ada yg demam, nyeri nyeri tulang, sakit kepala tapi biasanya ilang sendiri 2-3 hari. Maknyus sih emang, pantes ngeluh"
positive,habis disuntik booster pake pfizer saat ini ngga ada efek yang parah alhamdulillah
positive,"baru kelar booster pfizer di rumah sakit fatmawati. dateng jam 8 pagi, selesai jam 10 lumayan lah ya. sekarang berasa laper efek vaksin atau emang laper aja ya?"
positive,"Alhamdulillah, kelar vaksin pfizer dosis kedua. Sampai malam ini, kipi pfizer di ibu hamil 36 minggu masih sama dengan dosis pertama yaitu tangan pegal di area bekas suntikan. Semoga kita semua diberi kesehatan dan pandemi ini segera berakhir. Aamiin."
positive,"alhamdulillah, hingga detik ini tidak terasa adanya efek samping. semoga aman terus hingga hari ke 3.  #vaksin #pfizer ðŸ’ªðŸ‡®ðŸ‡© @ kota semarang"
positive,alhamdulillah sudah vaksin booster pagi tadi. vaksin pfizer  efek : kepala agak pusing tapi tidak terlalu yang berat kaya waktu vaksin 1 dan 2 dgn jenis sinovac. ngantuk dan lengan kiri masih berasa pegel sampai saat ini.
positive,Alhamdulillah Nyokap udah vaksin booster @pfizer di @rumahsakitui . Sehat2 terus & semoga ga ada KIPI nya ya
positive,aku vaksin booster yg pfizer aman nder. cuma tangan lebih pegel dan kemeng bgt tapi cuma 1-2 hari doang sama rada sakit kepala tp ga nyampe sehari udh sembuh. selebihnya ga ada efek apa2. tidak tau klo mungkin tiap org beda ya
positive,"Aku pfizer. Trs kata temen2 ku ""enak bgt dpt pfizer"". Dan efek yg aku rasain sih demam biasa aja. Gak ada yg sampe parah gimana gitu"
positive,abis divaksin booster pake pfizer. efek ngantukan sampe sekarang ga ilang2 dikit2 nguap pengennya merem mulu
positive,"abis booster vaksin pfizer kerasa lengan lumayan kemeng, dan kepala pusing gini. tidak tau ini efek samping vaksin atau gegara tadi malem kurang tidur"
positive,"12 jam setelah vaksin booster dengan jenis pfizer: terpantau gak ada efek samping aneh-aneh. sejauh ini cuma ngerasain lengan pegel dan ngilu kayak abis dipukulin satpol pp.   mungkin ""pp"" di ""satpol pp"" itu maksudnya paksin pfizer"
positive,cerita pagi ini vaksin sendiri gegara cari yg pfizer. jam 9 berangkat dan 9.30 udah sampe kos. disana ga antri sama sekali pas disuntik pun ga sakit. jam 12.47 sertifikatnya udah jadi. cepet juga. semoga ga ada efek gimana gimana setelahnya
positive,1 astrazeneca; 2 astrazeneca; dan 3 pfizer.  alhamdulillah vaksin covid kali ini ga terasa efek kipi apa - apa...  semoga makin kebal...
positive,"efek pfizer sampe sekarang belum ada. kemarin habis vaksin rada pusing tipis - tipis. ga tau itu efek vaksin, tensi aku yang agak tinggi (129/79), atau laper. habis makan ayam madura ilang, sih, pusing nya. jangan lupa ngecek tiket vaksin boosternya."
positive,alhamdulillah hari ini udah vaksin booster pake pfizer! semoga sehat selalu!! dan semoga efek nyeri yg di lengan gak sesakit pas vaksin 1 astrazeneca
positive,efek booster pfizer sejauh ini sih cuma njarem sama ngantuk aja sih. ngantuk pun itu 50:50 antara efek booster atau emang semalem kurang tidur
positive,"saya pake pfizer gak ada demam. efek yang di terima cuma ngantuk sama tangan pegel banget. tapi keluarga dirumah yang booster pfizer ada juga yang sampe demam, hajar paracetamol cuma berapa jam langsung normal lagi."
