Label,Text,Jenis
Positive,"saya pake pfizer gak ada demam. efek yang di terima cuma ngantuk sama tangan pegel banget. tapi keluarga dirumah yang booster pfizer ada juga yang sampe demam, hajar paracetamol cuma berapa jam langsung normal lagi.",Pfizer
Positive,saya sih nggak ada efek apa2 dari vaksin booster/ pfizer.,Pfizer
Negative,"sebagai alumni sinovac, kayaknya gue nggak percaya diri dengan booster dari kantor pake moderna sama pfizer dengan efek samping yg lumayan bikin syok karena sinovac gak ada efek samping sama sekali sewaktu itu gue vaksin",Pfizer
Negative,"Sebaiknya otoritas kita menyoroti kejadian di Norwegia. The Norwegian Medicines Agency melaporkan ada 29 orang menderita efek samping, 13 di antaranya berakibat fatal setelah disuntik vaksin Pfizer. Semua kematian adalah orang yang berusia di atas 80.",Pfizer
Negative,"seharian tidur, karena badan sakit semua… apalagi tangan gak bisa di gerakin, parah",Pfizer
Positive,sejauh ini belum ada efek samping atau gejala setelah suntik vaksin booster pfizer. Sejauh ini bagus,Pfizer
Positive,selamat booster kawan2. hari itu sy booster pfizer. dose 1 ; 2 az. alhamdulillahh cuma efek ngantuk dan sakit tempat suntik. minum air kosong byk2 dan selalu berpikiran positif!,Pfizer
Positive,selesai vaksin ke-3 booster pfizer alhamdulillah semoga gak ada efek apa2 dan sehat,Pfizer
Positive,selesai.. mencegah aja dulu... mari rasakan efek pfizer,Pfizer
Positive,setelah 24 jam baru muncul efek booster Pfizer. Syukur akhir pekan jadi bisa rebahan seharian,Pfizer
Negative,Siapa yang tempo hari ngotot mau vaksin pfizer? Norwegia: 23 Orang Meninggal Diduga Karena Efek Samping Vaksin Pfizer,Pfizer
Negative,"sinovac tidak ada efek, kalo pfizer kayak orang mau mati efeknya  demam, pegel linu sama pusing mual tapi cuma 1 hari sih",Pfizer
Negative,sumpah ya ini efek pfizer gak ilang - ilang di badan kalian yang mau booster tolong jaga kesehatan dan sarapan dulu kalau bisa jangan nekat langsung ke tempat vaksin.,Pfizer
Negative,"tadi pagi vaksin booster pfizer, efek pertama pagi-siang ngantuk. dini hari ini badan terasa sakit. dan lokasi sekitar suntikan sakit, jadi gak bisa tidur miring kiri.",Pfizer
Positive,"tadi pagi vaksin booster pfizer, habis vaksin lanjut ke kantor dan tetep puasa. belum ada efek apa2 sih sampai malam ini selain tangan yang bekas disuntik jd pegel banget.",Pfizer
Positive,tdk sepenuh nya betul ya. aku tdk ngerasain efek samping apa pun saat selesai injeksi booster pfizer.  mungkin tergantung imunitas masing - masing person kali.,Pfizer
Positive,tgl 25 januari aku vaksin booster dpt pfizer habis itu aku tidak ada efek apa2. boleh olahraga ga sih stlh itu? atau nunggu brp hari dulu baru boleh olahraga lagi?,Pfizer
Positive,tgl 28 januari 2022 vaksin booster pfizer.  belum ada efek apapun selain lengan bekas suntikan berasa lebih sakit. apalagi waktu proses di suntiknya. berasa kayak melambat gitu,Pfizer
Positive,tidak ada efek di aku. pegel doang di sekitar bekas suntikan.,Pfizer
Positive,udah kak baru kemarin tp aku dapet pfizer kak. efek di aku pegel sama laper terus. nggak meriang krn udah jaga2 minum panadol,Pfizer
Positive,update setelah 12 jam booster pfizer; terpantau aman dan belum tampak tanda2 kipi semoga tidak ya cuma efek suntik agak pegal tapi gak apa apa deh,Pfizer
Negative,"vaksin 1 dan 2: sinovac (efek ngantuk dan cepet lapar)  vaksin boster : pfizer  jumat : lengan sakit, klimaksnya sabtu ga bisa tidur miring, minggu agak reda selama itu meriang sama sedikit masuk angin. senin demam tinggi 38,5°c, selasa demam 37,5°c+ pusing, rabu ada tambahan batuk",Pfizer
Negative,"Vaksin 1 Sinovac : Ngantukkk, Vaksin 2 Sinovac : engga ada efek apa - apa , Vaksin 3 Pfizer : lemes, badan kaya habis digebukin, sakit kepala, demam, dan dingiiinnn",Pfizer
Positive,"vaksin 1,2 sinovac. pfizer tanggal 28 januari, bekas suntikan pegel, tapi masih bisa digerakin, ngangkat barang2 juga. h+1 lebih pegel tapi masih bisa digerakin, sore badan hangat tapi gak sampai demam, pusing dikit tapi bentar",Pfizer
Negative,"vaksin booster kali ini bikin pingsan. vaksin pake setengah dosis pfizer. vaksin di jumat siang dan sampe sabtu malam, tangan pegel dan agak sakit dibagian suntikan. mual mual, muntah, pusing banget bikin pusing. entah karena efek ngopi jumat malam atau gak. tapi bikin sakit",Pfizer
Positive,vaksin dosis 1-2 kemarin pakenya sinovac dan gak ada efek apa2 soalnya... tp kalo lihat efektivitasnya booster pfizer kan lebih efektif ya,Pfizer
Negative,vaksin pfizer. efek samping lengan nya kayak abis ditonjok,Pfizer
Positive,"W udah 2x vaksin pfizer sama istri, gak ada efek samping nya…",Pfizer
Negative,"Waktu saya vaksin pfizer yg kedua.. efek vaksin nya lumayan parah, bikin muntah"" seharian..",Pfizer
Negative,"Wiw efek pfizer kok kek gini, jd takut mo vaksin ketiga",Pfizer
Negative,"ya ampun efek vaksin pfizer emang ya lebih parah dari yg sebelumnya, tepar nya ngilu nya sakit nya pusing nya ada semua",Pfizer
Positive,"ya mungkin memang imun orang lain beda ya, kalo aku aman aja pake pfizer",Pfizer
Positive,"yang penting makan sebelum vaksin, dijamin aman",Pfizer
Negative,"Efek samping Pfizer itu kayak apa ya? Moderna kemarin katanya parah beut. Dari bengkak, mual, muntah, demam dan pusing",Moderna
Negative,efek samping moderna sungguh sangat amat menyiksa,Moderna
Negative,"Efek samping moderna jauh lebih strong daripada Pfizer. Udah tiga kali minum Panadol, demamnya nggak turun - turun. Meriang pula",Moderna
Negative,"efek samping itu kemungkinan ada, tapi sejauh konsultasi sama bbrp dokter efek muriang ini tidak akan sehebat vaksin moderna. balik lagi ke kondisi tubuh. klo bisa ya h-2 atau 3 sblm vaksin harus hidup sehat dlu. tidur makan minum yg ",Moderna
Negative,"efek samping booster vaksin pfizer & moderna, lelah hingga nyeri",Moderna
Negative,"efek samping  sy rasa setelah di booster moderna mencakup kedinginan, sakit kepala, nyeri, kelelahan, dan kemerahan dan pembengkakan di tempat suntikan",Moderna
Negative,efek nyeri moderna ini awet banget ya Allah,Moderna
Negative,"efek moderna terasa banget, ini tangan kiri pegal dan nyeri banget. dibanding vaksin 1 dan 2 kemarin, vaksin 3 booster lebih terasa sakit.",Moderna
Negative,efek moderna tambah greges pak,Moderna
Positive,Efek moderna sejauh ini cuma kelaparan,Moderna
Positive,"efek moderna ringan kalo di aku, nggak ada yang aneh",Moderna
Negative,efek moderna hardcore jg,Moderna
Positive,efek booster pakai moderna emg ada batuk pilek juga kah?,Moderna
Positive,Efek booster moderna kenapa bikin laperan gini,Moderna
Negative,"efek booster moderna bikin pegal seluruh  badan kayak abis digebuk ,padahal udah 24 jam lebih yang lalu divaksin",Moderna
Positive,"dulu juga udah sempat bilang kalo efek pasca vaksin itu tiap orang beda -beda. aku bilang, ""aku bisa drop ya karena efek moderna emang cukup kuat. itu ayah sama adek udah 2x vaksin tapi ga kenapa -napa.""",Moderna
Positive,"dosis 2 moderna selesai,  setelah satu jam belum ngerasain efek apa apa.",Moderna
Negative,Di sana we nambah moderna aja lah etapi klo demam efek vaksin ntar ga ada yg ngerawat gue harus mandiri,Moderna
Positive,di aku kok gak ada efek apa-apa ya,Moderna
Positive,"Demi apa vaksin ke3 make me asdfghjklhzhzhzzhzh Sumpaaa efeknya mleyot, pastikan kalo mo vaksin moderna jadwal bberapa hari kedepan kosong. Jd ga terganggu",Moderna
Negative,cenut2 kali pala ku ini efek moderna,Moderna
Negative,capek bgt demam dan batuk. mana kebangun2 pula. ini efek moderna apa kena,Moderna
Positive,"buat tidur badan udah sehat, aku pakai moderna ya, jadi efeknya nggak berat dan nggak lama",Moderna
Negative,btw astrazeneca dapet booster moderna paling top karna dijamin ampuh walau jujur 2 jenis vaksin itu efek sampingnya warbiasa sakitnya dibanding sinovac pfizer,Moderna
Negative,"booster nya nanti milih pfizer, astrazeneca atau moderna.  aku saranin jangan moderna ya.  efek nya kuat banget",Moderna
Positive,"booster moderna, gak ada efek selain pegal biasa sehari aja. aku v1 dan v2 juga begitu efeknya.",Moderna
Negative,booster moderna kak.  kalo kakak booster kalo bisa aku saranin milih yng lain ya kak selain moderna .  aku baru tau moderna efek nya kuat banget,Moderna
Negative,"bisa saja, tapi lo tau ga temen gue aja blg sakit karna efek vaksin moderna yg bikin demam parah itu, sama kepala ruangnya ga boleh ijinnn",Moderna
Negative,"bisa jadi, soalnya moderna kelas paling atas dan biasanya di pake nya sama tenaga kesehatan jadi efek nya mungkin lebih berasa di banding sama jenis lain nya ",Moderna
Positive,"Beda sama AZ. Penerima AZ itu sudah merasakan getir dan beratnya efek samping AZ yang bagi beberapa orang sensasinya 11-12 kayak kena CVD . Dengan diberikan Moderna, tubuh sudah beradaptasi",Moderna
Positive,"baru aja kemarin vaksin pake moderna, aku kira bakal gila kipi nya, ternyata engga juga",Moderna
Positive,"Balik ke orang masing-masing, aku moderna ga efek apa-apa, paling lengan doang yg nyeri",Moderna
Negative,baca2 tweet ternyata banyak banget yg ngerasain efek vaksin booster moderna ini kapan sembuhnya,Moderna
Negative,"aszec kak, efek aszec aja udah bikin aku pingsan sekian detik gmn moderna",Moderna
Positive,"apapun jenis vaksinnya, mo sinovac yg katanya paling aman, pfuzer, moderna, atau astreajenaka semua berpotensi meninggalkan efek samping. karena semua vaksin covid blm dinyatakan lulus uji klinis dan blm layak pake secara aman. semua mengacu pada ijin kedaruratan dri uea.",Moderna
Positive,Angka Kematian Orang Disuntik Vaksin Moderna Paling Rendah ,Moderna
Positive,"aman, badan nggak rewel",Moderna
Positive,"aman sampe rumah, aku jalan kaki, nggak pusing, nggak mual, aku pakai moderna ya",Moderna
Positive,alhamdulillah sabtu setelah d vaksin moderna. efek cmn nyeri d tangan bekas vaksin,Moderna
Positive,"alhamdulillah 7 jam setelah suntik booster moderna, tidak merasakan efek samping apa2, cuma pegel aja",Moderna
Positive,"aku udah dulu moderna, efek samp nya demam tinggi sih. tp diminumin prctmol udah baik an",Moderna
Positive,"aku udah booster pake moderna, ternyata efek nya ga separah yang dibilang orang2. alhamdulillah setelah 7 jam booster, cuman pegel tangan doang",Moderna
Negative,aku parah soalnya efek dri pasca booster moderna,Moderna
Positive,"aku moderna, sejauh ini belum muncul efek sampingnya.. waktu vaksin 1 2 kemarin gak ada efek samping sama sekali semoga sekarang nggak ada juga",Moderna
Positive,"aku moderna kemaren gak ada efek sama sekali, kubawa begadang pula",Moderna
Positive,"aku kira bakal berat, ternyata gini-gini aja",Moderna
Negative,"aku juga gitu pas vaksin dosis dua moderna. padahal dosis satu nya cuma kaku + nyeri doang bagian bekas suntik. yang dosis dua kayak meriang, lemes, letoyyyyy",Moderna
Positive,"aku dosis 1 2 sinovac dosis 3 moderna. efek ke orang beda2 kok, makan dulu sebelum vaksin ya.  aku gapapa sih setelah vaksin ibu ku jg gapapa ( 1 2 az, 3 moderna) gapapa kok ayo vaksin",Moderna
Negative,aku dapet moderna dan efek sampingnya luar biasa,Moderna
Positive,"Aku booster moderna gak ada efek, ada tapi cuma pegel di area suntikkan aja. Ga separah vaksin 1 astra",Moderna
Positive,"aku baru hari ini vaksin booster. dapetnya moderna. per mahgrib ini, blom ada efek samping. masih linu2 aja di lengan bekas suntik. jangan sampe yg demam gitu. ini aja ud susah angkat lengan",Moderna
Positive,akhirnya efek dari dosis penuh booster moderna mulai menghilang.. setelah 32 jam pasca vaksin,Moderna
Positive,"abis vaksin moderna, smoga ga knpa-napa ",Moderna
Positive,abis vaksin moderna seharusnya tangan pegel demam mual tapi ini besoknya buat basket karena ga kerasa apa2 padahal papa pegel n demam.,Moderna
Positive,"abis vaksin moderna aku gak merasakan efek samping apa2, jangan2 yg disuntikkan ke tubuhku sebenarnya adalah cairan infus",Moderna
Positive,"abis booster moderna, terpantau belum ada efek apa-apa cuman jadi super rakus aja",Moderna
Positive,"abis booster moderna ga berasa efek apa-apa, kurang menantang",Moderna
Positive,"40 jam setelah vaksin moderna: udah enakan, masih pegel di area suntik",Moderna
Positive,3 jam setelah vaksin moderna: tidak ada efek apa- apa :),Moderna
Positive,13 jam stlh vaksin moderna tuh ngantuk bgtbgtbgt,Moderna
