Label,Text,Jenis
Positive,Siapin panadol 1 ember untuk tangkis efek samping Moderna,Moderna
Positive,"setelah sekitar 24 jam, siap2 efek titik yg disuntik njarem, cenut2, demam bbrp hari, kepala pusing, lemes. moderna rata2 berdampak spt itu. alhamdulillah kemarin saya baru terbebas dr efek itu setelah disuntik moderna pd jumat sore. semoga sehat",Moderna
Negative,"setelah baca"" pengalaman orang lain vaksin booster moderna ternyata efeknya sama. badan ngilu, sakit kepala, pusing, kedinginan. tapi jujur ini efek vaksin yg paling parah.",Moderna
Negative,serius 2x kemarin aja berasa semaput yang terakhir. semalaman berasa kumat sakit yah apalagi kalau ke 3 kayaknya prepare parah sih soalnya pola tidur gw kacau semenjak shifting,Moderna
Positive,"seminggu kemarin abis vaksin moderna, dan efek sampingnya hampir gak ada kecuali laper",Moderna
Negative,"Selamat menjalani vaksin booster kalian semua. Bukan nakutin tapi bener bgttt efek samping moderna separah inii di tubuh gw yg berat badan nya cuman 42kg. Sembuh 3 hari stlah minum paracetamol, but ruamnya masih ada sampe semingguan ",Moderna
Positive,sekeluarga pake moderna alhamdulillah buat bulu tangkis masih kuat,Moderna
Negative,sedap juga efek moderna ini,Moderna
Negative,"sbnrnya trgantung jenis vaksinnya . kmrn aku moderna. nah itu efektivitasnya trhadap virus plg tinggi tp ya efek sampingnya pun tinggi. aku demam, pusing sama tgn pegal bgn disuntik..",Moderna
Negative,"Saya dah suntik vaksin astra 2x , kemudian dapat suntikan booster Jansen dan december kemarin harus di suntik booster lagi dengan Moderna  total dah 4x tapi effect yg terasa agak berat sampai mengganggu aktifitas cuma yg terakhir yaitu Vaksin Moderna .",Moderna
Negative,"satu lagi, lengan terasa abis diinjak gajah. efek beberapa jam setelah itu ga bisa gerakin lengan. alias sakit banget. jadi pastiin kalian shot moderna di lengan sebelah kiri aja, jadi tangan kanan yg biasa buat aktifitas tergolong aman.",Moderna
Negative,"saran aja kalo booster vaksin lebih baik milih pfizer aja soalnya kalo astra efeknya demam, moderna lebih parah, kalo pfizer ga ada efek. udah survey orang -orang kantor dan aku sendiri",Moderna
Negative,sahabat sya sempat kena covid sm suaminya tahun lalu.. setelah smbuh dokter bilang tidak boleh terlalu capek krna efek setelah vaksin moderna darahnya menjadi agak kental dan kenyataan skrang gampang lelah,Moderna
Positive,pokoknya habis vaksin langsung minum paracetamol,Moderna
Negative,"paket komplit efek moderna bikin badan demam, sakit kepala dan diare",Moderna
Positive,"oarang-oarang booster pada kena efek samping yg lumayan, aku gak apa-apa selain nyeri dikit di area suntikan. Booster aku moderna",Moderna
Negative,"Njaremm.. tangan yg disuntik dibuat gerak terasa agak nyerii... moderna, jangan nakal ya didalam tubuh kakak mu ini…",Moderna
Negative,"ngelihat data riset soal efektivitas vaksin, untung kemarin dapet Moderna :') awalnya ragu n pengen nunggu yg satunya tp trnyata Moderna strong…",Moderna
Positive,ngadepin efek samping moderna juga kuat kok ini buktinya masih kuat,Moderna
Negative,moderna.... efek setelah vaksin mantab,Moderna
Positive,"Moderna, ga ada efek samping kemaren",Moderna
Negative,Moderna vaksin dosis ke 3 lebih aduhay dari sebelumnya,Moderna
Positive,"Moderna sudah disuntik, kita tunggu update efek samping 1x24",Moderna
Negative,moderna karena kebetulan fasilitas kesehatan di deket rumah sedianya itu. skg malah sedianya astra. moderna lebih susah keknya dicari. beruntung sih dapet moderna meski jujyur aga2 trauma sama efek sampingnya. tapi demi sehat gapapa lah.,Moderna
Negative,moderna emang wajib ada efek samping sihðŸ™ƒ,Moderna
Positive,moderna emang ga ada efek sampingnya apa vaksinnya merembes gara-gara gua bawa motor tadi pulangnya,Moderna
